Oklahoma Native Plant Record	2379-4011
Revista de Filosofia Moderna e Contemporânea	2317-9570
Revista Acesso Livre	2319-0698
REEC: Revista Eletrônica de Engenharia Civil	2179-0612
Em Tese	1806-5023
Vìsnik. Kii?vs?kogo Nacìonal?nogo Unìversitetu ìmenì Tarasa Šev?enka. Ekonomìka	1728-2667
Revista Española de Discapacidad	2340-5104
Revista Electrónica Dr. Zoilo E. Marinello Vidaurreta	1029-3027
Chasqui	1390-1079
Revista Pós Ciências Sociais	1983-4527
Polski Przegl?d Kartograficzny	0324-8321
Practice and Theory in Systems of Education	1788-2591
Ekonomia i Prawo	1898-2255
Mechanics and Control	2300-7079
Annales Universitatis Paedagogicae Cracoviensis. Studia de Cultura	1644-1885
Nuclear Medicine Review	1644-4345
EAI Endorsed Transactions on Collaborative Computing	2312-8623
Medea	2421-5821
Geriatric Care	2465-1397
Lingue e Linguaggi	2239-0359
International Journal of Advanced Structural Engineering	2008-6695
International Nano Letters	2228-5326
Vestnik Volgogradskogo Gosudarstvennogo Universiteta. Seriâ 11. Estestvennye Nauki	2306-4153
Polish Hyperbaric Research	2084-0535
Iranian Journal of Optimization	2008-5427
Journal of Education and Community Health	2383-2312
Caiana Revista de Historia del Arte y Cultura Visual	2313-9242
International Journal of Innovation	2318-9975
Revista San Gregorio	1390-7247
Revista Políticas Públicas & Cidades	2359-1552
Cadernos do Desenvolvimento Fluminense	2317-6539
Krymskij Nau?nyj Vestnik	2412-1657
Lingue e Linguaggi	2239-0359
Dental Forum	1732-0801
The Journal of Clinical Investigation	1558-8238
Critica Educativa	2447-4223
Neotropical Biology and Conservation	2236-3777
Operations Research Perspectives	2214-7160
Egyptian Journal of Ear, Nose, Throat and Allied Sciences	2090-0740
Climate Risk Management	2212-0963
Egyptian Journal of Anaesthesia	1110-1849
Egyptian Pediatric Association Gazette	1110-6638
Journal of Rock Mechanics and Geotechnical Engineering	1674-7755
Parole: Journal of Linguistics and Education	2338-0683
La Granja: Revista de Ciencias de la Vida	1390-3799
Revista Latinoamericana de Derechos Humanos	1659-4304
Boletín de Geología	0120-0283
Structural Dynamics	2329-7778
Acta Scientiarum Polonorum Zootechnica	2300-6145
Aniki: Revista Portuguesa da Imagem em Movimento	2183-1750
Nordic Journal of Health Economics	1892-9729
Jurnal Ekonomi Pembangunan: Kajian Masalah Ekonomi dan Pembangunan	1411-6081
Journal of Seed Science	2317-1537
Asia & the Pacific Policy Studies	2050-2680
Pharmacology, Research & Perspectives	2052-1707
The Journal of Pathology: Clinical Research	2056-4538
Caligrama: Revista de Estudos Românicos	0103-2178
Archives of Forensic Medicine and Criminology	1689-1716
Biblioteka	2391-5838
Naše Gospodarstvo	2385-8052
Zagreb International Review of Economics and Business	1849-1162
Indonesian Journal of Curriculum and Educational Technology Studies	2252-6447
Rainbow: Journal of Literature, Linguistics and Culture	2252-6323
Biotechnology & Biotechnological Equipment	1310-2818
Grafo Working Papers	2014-5993
Letras & Letras	1981-5239
Revista Latinoamericana de Población	2175-8581
[i2]: Investigación e Innovación en Arquitectura y Territorio	2341-0515
Novos Olhares	2238-7714
?asopis pro Moderní Filologii	0008-7386
Journal of Animal and Plant Sciences	2071-7024
Zeszyt Naukowy Wy?szej Szko?y Zarz?dzania i Bankowo?ci w Krakowie	2300-6285
Journal of Industrial Engineering International	2251-712X
International Aquatic Research	2008-6970
Journal of Global Entrepreneurship Research	2251-7316
International Journal of Child Care and Education Policy	2288-6729
Soil	2199-398X
Mobile Culture Studies. The Journal	2413-9181
Folia Historica Cracoviensia	2391-6702
Torun International Studies	1689-8168
Journal of Innovation in Health Informatics	2058-4555
Jurnal Energi Dan Manufaktur	2302-5255
Jurnal Ilmiah Teknik Industri	1412-6869
Esculapio	2309-3080
Ibero Latin American Journal of Health System Pharmacy	1131-9429
Mundi Migratios	2409-0018
Poultry Science Journal	2345-6566
La Pediatria Medica e Chirurgica	2420-7748
Ana Dili E?itimi Dergisi	2147-6020
Innoeduca	2444-2925
Revista Tempos Históricos	1517-4689
Estudios Internacionales	0716-0240
Logos Ciencia & Tecnología	2145-549X
Museologia e Patrimônio	1984-3917
EntomoBrasilis	1983-0572
Revista Batista Pioneira	2316-462X
Frontiers in Cellular and Infection Microbiology	2235-2988
Islamica: Jurnal Studi Keislaman	1978-3183
Jurnal Teknosains: Jurnal Ilmiah Sains dan Teknologi	2089-6131
Telematika	1829-667X
Wartazoa	0216-6461
Digital Education Review	2013-9144
Revista Perspectivas	1994-3733
Tomo	2318-9010
Dissertations of Cultural Landscape Commission	2391-5293
Cultural Tourism	1689-4642
FAMILY MEDICINE & PRIMARY CARE REVIEW	2449-8580
Health Psychology Report	2353-5571
Advances in Dermatology and Allergology	2299-0046
Gastroenterology Review	1897-4317
Polish Journal of Thoracic and Cardiovascular Surgery	1897-4252
Current Issues in Personality Psychology	2353-561X
Integrated Pharmacy Research and Practice	2230-5254
Chronic Wound Care Management and Research	2324-481X
Mídia e Cotidiano	2178-602X
Translingual Discourse in Ethnomusicology	2312-2528
Reproduktivnaâ Èndokrinologiâ	2309-4117
Acta Oeconomica Pragensia	0572-3043
Vìsnik Pridnìprovs?koï Deržavnoï Akademìï Budìvnictva ta Arhìtekturi	2312-2676
Perinatologiâ i Pediatriâ	1992-5891
Arheologia Moldovei	0066-7358
Johnson Matthey Technology Review	2056-5135
PhytoChem & BioSub Journal	2170-1768
Health, Spirituality and Medical Ethics	2322-4304
Arnaldoa	1815-8242
Analytical Cellular Pathology	2210-7177
eTopoi. Journal for Ancient Studies	2192-2608
Acta Energetica	2300-3022
Technology Law Review	1811-3095
Simbiosis: Journal of Biological Sciences	2337-7224
E-Jurnal Matematika	2303-1751
Jurnal Matematika	1693-1394
Analytical and Numerical Methods in Mining Engineering	2251-6565
Süleyman Demirel Üniversitesi Fen Bilimleri Enstitüsü Dergisi	1300-7688
Romanian Journal of Diabetes Nutrition and Metabolic Diseases	2284-6417
International Archives of Health Sciences	2383-2568
Nature Communications	2041-1723
Revista de Ciencias Economicas	0252-9521
Journal of Applied Pharmaceutical Sciences	2358-3495
Archives for the Philosophy and History of Soft Computing	2341-0183
Jurnal Kajian Bali	2088-4443
Jurnal Teknologi dan Sistem Informasi	2460-3465
Erasmo: Revista de Historia Bajomedieval y Moderna	2341-2380
Socialinis Darbas: Patirtis ir Metodai	2029-0470
Vivli?of?ika	2333-1658
Politics in Central Europe	1801-3422
Scientific Journals of the Maritime University of Szczecin	2392-0378
Polish Journal of Social Rehabilitation	2392-2656
Journal of Environmental Geography	2060-467X
Journal of Legal Studies	2392-7054
Messages, Sages and Ages	1844-8836
Kerala Heart Journal	2347-5269
Journal of Performing Arts Leadership in Higher Education	2157-6874
Collectivus: Revista de Ciencias Sociales	2382-4018
3C TIC	2254-6529
ACE: Architecture, City and Environment	1886-4805
European Review of Aging and Physical Activity	1861-6909
Chinese Journal of Aeronautics	1000-9361
Revista Cubana de Información en Ciencias de la Salud	2307-2113
Jurnal Veteriner	1411-8327
Indonesia Medicus Veterinus	2301-7848
Jurnal Ekonomi Kuantitatif Terapan	2303-0186
Jurnal Biologi	1410-5292
Anusandhan Vigyan Shodh Patrika	2322-0708
Amazon's Research and Environmental Law	2317-8442
Culturas	2386-7515
Revista Espaço Ética: Educação, Gestão e Consumo	2358-0224
Revista Espaço Ética: Educação, Gestão e Consumo	2358-0224
Nordic Journal of Studies in Educational Policy	2002-0317
Journal of Human Security	1835-3800
Studia Paedagogica	1803-7437
Prawo Bud?etowe Pa?stwa i Samorz?du	2353-7086
o-bib. Das offene Bibliotheksjournal	2363-9814
Geo: Geography and Environment	2054-4049
Himalaya	1935-2212
Journal of Research on Trade, Management and Economic Development	2345-1424
Revista Conrado	1990-8644
International Journal of Entrepreneurial Knowledge	2336-2960
EAI Endorsed Transactions on Security and Safety	2032-9393
JMM Case Reports	2053-3721
International Journal of Corrosion and Scale Inhibition	2305-6894
Valuation Studies	2001-5992
Jurnal Economia	1858-2648
Izumi	2338-249X
Revista Brasileira de Ortopedia	0102-3616
Apertura: Revista de Innovación Educativa	1665-6180
TS Cuadernos de Trabajo Social	0719-6520
Ulumuna	1411-3457
International Journal of Language Education and Cultural Review	2406-8586
Jurnal Ilmiah Spektrum	2302-3163
Medicina	0216-4701
Clinical Medicine Insights: Trauma and Intensive Medicine	1179-5603
Current Trends in Translation Teaching and Learning E	2342-7205
Revista de Estudios Clásicos	0325-3465
Journal of Airline and Airport Management	2014-4865
Vestnik Volgogradskogo Gosudarstvennogo Universiteta. Serija 1. Mathematica. Physica	2222-8896
Journal of Circulating Biomarkers	1849-4544
Novìtnâ Osvìta	2409-3351
Journal of Vasyl Stefanyk Precarpathian National University	2311-0155
W?adza S?dzenia	2300-1690
Rural Landscapes: Society Environment History	2002-0104
Obesity Science & Practice	2055-2238
Lingua: Jurnal Ilmu Bahasa dan Sastra	1693-4725
Agrociencia	1510-0839
Revista Iberoamericana de Bioeconomía y Cambio Climàtico	2410-7980
European Medical Journal Oncology	2054-619X
European Medical Journal Rheumatology	2056-6395
European Medical Journal Gastroenterology	2054-6203
European Medical Journal Neurology	2054-4529
EAI Endorsed Transactions on Creative Technologies	2409-9708
EAI Endorsed Transactions on Context-aware Systems and Applications	2409-0026
Pracì Mìžnarodnogo Geometri?nogo Centru	2072-9812
EAI Endorsed Transactions on e-Learning	2032-9253
International Journal of Education and Literacy Studies	2202-9478
EAI Endorsed Transactions on Wireless Spectrum	2312-6620
Australian Educational Computing	1443-833X
Rivista Italiana di Ornitologia - Research in Ornithology	2385-0833
PULS UCZELNI	2449-9021
Semina Scientiarum	2391-6850
Explorations (Opole)	2353-6969
International Journal of Computer Engineering and Information Technology	2412-8856
Binus Business Review	2087-1228
Revista Vortex	2317-9937
Revista Pós Ciências Sociais	1983-4527
Journal of Dentistry Indonesia	1693-9697
Lingua Cultura	1978-8118
Tazkia Islamic Finance and Business Review	1907-8145
Jurnal Neutrino	1979-6374
Holodil?naâ Tehnika i Tehnologiâ	0453-8307
Open Access Macedonian Journal of Medical Sciences	1857-9655
International Journal of Surgery and Medicine	2367-699X
Vestnik Volgogradskogo Gosudarstvennogo Universiteta. Seriâ 2. Âzykoznanie	1998-9911
European Medical Journal Urology	2053-4213
European Medical Journal Diabetes	2054-6181
International Journal of Neonatal Screening	2409-515X
Universe	2218-1997
Non-Coding RNA	2311-553X
Journal of Fungi	2309-608X
Èkonomika Regiona	2072-6414
Tidsskrift for Ungdomsforskning	1502-7759
Society, Health & Vulnerability	2002-1518
Indonesian Biomedical Journal	2085-3297
Zeitschrift für Medienpädagogik	2197-6481
Studia Litteraria et Historica	2299-7571
NanoWorld Journal	2379-1101
Ar-Raniry: International Journal of Islamic Studies	2355-7885
Indonesian Capital Market Review	1979-8997
Jurnal Rekayasa Kimia & Lingkungan	1412-5064
Iranian Chemical Communication	2423-4958
Revista Brasileira de Educação em Geografia	2236-3904
Mundi Migratios	2409-0018
Itinerarius Reflectionis	1679-2009
Revista Brasileira de Educação em Geografia	2236-3904
Slovenský Národopis	1335-1303
Journal of Cancer Research & Therapy	2052-4994
INTERNATIONAL JOURNAL OF KINESIOLOGY AND SPORTS SCIENCE	2202-946X
European Clinical Respiratory Journal	2001-8525
Clinical & Translational Immunology	2050-0068
Wildlife Biology	1903-220X
Confero: Essays on Education, Philosophy and Politics	2001-4562
ERJ Open Research	2312-0541
Global Mental Health	2054-4251
Primate Biology	2363-4715
Zeitschrift für Praktische Philosophie	2409-9961
027.7 : Zeitschrift für Bibliothekskultur	2296-0597
International Journal of Body, Mind and Culture	2345-5802
Journal of Contemporary Medical Sciences	2413-0516
South East Asian Journal of Management	1978-1989
Asean Marketing Journal	2085-5044
Türk Yo?un Bakim Derne?i Dergisi	2146-6416
Revista de Derecho Electoral	1659-2808
Tomo	2318-9010
Turizam	1450-6661
ESP Today	2334-9050
Acta Gymnica	2336-4912
Molecular Imaging and Radionuclide Therapy	2146-1414
Haseki T?p Bülteni	1302-0072
Beder University Journal of Educational Sciences	2306-0557
International Journal of Food and Allied Sciences	2413-2543
Science Museum Group Journal	2054-5770
Boletim Gaùcho de Geografia	0101-7888
Revista de Direito Sanitário	1516-4179
Equidad & Desarrollo	1692-7311
Cumhuriyet Üniversitesi ?lahiyat Fakültesi Dergisi	1301-1197
Evropejskij Žurnal Fizi?eskoj Kul?tury i Sporta	2310-0133
Anali Hrvatskog Politološkog Društva	1845-6707
Muhandis?-i bihd?sht-i ?irfah/?	2383-3378
Journal of Coastal Life Medicine	2309-5288
Carpathian Journal of Electronic and Computer Engineering	1844-9689
Panorama Cuba y Salud	1995-6797
Journal of Asian Ceramic Societies	2187-0764
Journal of Marine and Island Cultures	2212-6821
Jurnal Pendidikan Bahasa dan Sastra Indonesia: Lingua Litteria Journal	2252-6722
Jurnal Sastra Indonesia	2252-6315
Edu Elektrika Journal	2252-7095
Edu Komputika Journal	2252-6811
Geo-Image Journal	2252-6285
Indonesian Journal of History Education	2252-6641
Journal of Edugeography	2252-6684
Journal of Indonesian History	2252-6633
Indonesian Journal of Guidance and Counseling	2252-6374
Joyful Learning Journal	2252-6366
Chi'e: Jurnal Pendidikan Bahasa Jepang	2252-6250
Synergies Portugal	2268-493X
Journal of Nosocomial Infection	2383-2053
Jurnal Udayana Mengabdi	1412-0925
Meandros Medical and Dental Journal	1302-6755
Trashumante: Revista Americana de Historia Social	2322-9381
Arenal: Revista de Historia de las Mujeres	1134-6396
Geodinamika i Tektonofizika	2078-502X
Vestnik Nizhnevartovskogo Gosudarstvennogo Universiteta	2311-1402
Mechanics of Advanced Materials and Modern Processes	2198-7874
Journal of Trust Management	2196-064X
Journal of Big Data	2196-1115
International Journal of Food Contamination	2196-2804
Journal of Software Engineering Research and Development	2195-1721
Comparative Migration Studies	2214-594X
EPJ Techniques and Instrumentation	2195-7045
Surgical Case Reports	2198-7793
Brazilian Journal of Science and Technology	2196-288X
Journal of Solid State Lighting	2196-1107
Journal of Experimental Orthopaedics	2197-1153
Littera Aperta	2341-0663
Jurnal Jaffray	1829-9474
Journal of Biological Methods	2326-9901
Eye and Vision	2326-0246
Evidence-based Preclinical Medicine	2054-703X
Journal of Learning for Development	2311-1550
BMJ Open Sport & Exercise Medicine	2055-7647
Biomonitoring	2300-4606
Curved and Layered Structures	2353-7396
Nanofabrication	2299-680X
GMS Interdisciplinary Plastic and Reconstructive Surgery DGPW	2193-8091
International Journal of Languages' Education and Teaching	2198-4999
Journal of Statistical Distributions and Applications	1865-1372
Archives Animal Breeding	0003-9438
International Journal of STEM Education	2196-7822
Landtechnik	0023-8082
Injury Epidemiology	2197-1714
Journal of the Brazilian Computer Society	1678-4804
Infrastructure Complexity	2196-3258
Computational Social Networks	2197-4314
Clinical Phytoscience	2199-1197
Intensive Care Medicine Experimental	2197-425X
International Journal of Dharma Studies	2196-8802
International Journal of Implant Dentistry	2198-4034
Carbon Balance and Management	1750-0680
Journal of Computational Surgery	2194-3990
The Journal of Chinese Sociology	2198-2635
Engramma	1826-901X
Palgrave Communications	2055-1045
International Journal of Comparative Literature and Translation Studies	2202-9451
Dinamika Ilmu	1411-3031
Journal of Radiobiology	2382-9834
Health Reform Observer - Observatoire des Réformes de Santé	2291-6369
Oeconomia Copernicana	2353-1827
Asia Pacific Journal on Computational Engineering	2196-1166
International Journal of Multicultural and Multireligious Understanding	2364-5369
Nano Convergence	2196-5404
Americanía: Revista de Estudios Latinoamericanos	2174-0178
Bone Reports	2352-1872
Ulul Albab	1858-4349
Geoplanning: Journal of Geomatics and Planning	2355-6544
Independent Journal of Management & Production	2236-269X
Thaumazein: Revista Online de Filosofia	1982-2103
Coordenadas: Revista de Historia Local y Regional	2362-4752
Rodriguésia	2175-7860
Medicina	0120-5498
International Journal of Bio-Inorganic Hybrid Nanomaterials	2251-8533
JMIR Mental Health	2368-7959
K-12 STEM Education	2408-1515
Disaster and Military Medicine	2054-314X
Stem Cell Research & Therapy	1757-6512
Multidisciplinary Journal for Education, Social and Technological Sciences	2341-2593
Civilistica.com	2316-8374
Inquietud Empresarial	0121-1048
Revista Vectores de Investigación	1870-0128
Veredas do Direito	1806-3845
Bibliotecas. Anales de Investigación	0006-176X
Advances in Bioscience and Clinical Medicine	2203-1413
Porcine Health Management	2055-5660
Sports Medicine - Open	2198-9761
EPJ Quantum Technology	2196-0763
Trendy v Podnikání	1805-0603
Acta Technologica Dubnicae	1339-4363
Economics (Bijeljina)	2303-5013
Al-Iqtishad: Jurnal Ilmu Ekonomi Syariah	2087-135X
Revista Administração em Diálogo	2178-0080
Asia-Pacific Journal of Oncology Nursing	2349-6673
Revista Facultad de Ciencias de la Salud UDES	2422-1074
Voprosy Regulirovaniâ Èkonomiki	2078-5429
Mimbar Hukum	0852-100X
Ciencia Administrativa	1870-9427
Journal of Urological Surgery	2148-9580
Türk Osteoporoz Dergisi	2147-2653
Actas Iberoamericanas de Conservación Animal	2253-7325
Organizações e Sustentabilidade	2318-9223
European Review Of Applied Sociology	2286-2552
Breast Cancer Research	1465-5411
Abril	1984-2090
Abril	1984-2090
Teknik	0852-1697
Iranian Journal of Neurosurgery	2423-6497
Critical Care	1364-8535
Türk Oftalmoloji Dergisi	1300-0659
EJNMMI Physics	2197-7364
Computational Astrophysics and Cosmology	2197-7909
ROBOMECH Journal	2197-4225
Research in the Mathematical Sciences	2197-9847
Applied Adhesion Science	2196-4351
DADA Rivista di Antropologia post-globale	2240-0192
Geographica Helvetica	2194-8798
Ampersand	2215-0390
Motricidad Humana	0717-9677
Cancer Translational Medicine	2395-3012
Hungarian Journal of Industry and Chemistry	0133-0276
Problemy Muzykal?noj Nauki (Ufa)	1997-0854
International Naval Journal	2413-7596
Nanobiomedicine	1849-5435
JEJAK: Jurnal Ekonomi dan Kebijakan	2460-5123
Economic Education Analysis Journal	2252-6544
Unnes Journal of Research Mathematics Education	2252-6455
Revista Bahiana de Odontologia	2238-2720
Revista Psicologia, Diversidade e Saúde	2317-3394
Revista Eletrônica Teccen	1984-0993
Revista Desenvolvimento Socioeconômico em Debate	2446-5496
Revista Desenvolvimento Socioeconômico em Debate	2446-5496
Entremeios	2179-3514
Música Oral del Sur	1138-8579
Journal of Optimization in Industrial Engineering	2251-9904
Avicenna Journal of Clinical Microbiology and Infection	2383-0298
Horizon: Fenomenologi?eskie Issledovaniâ	2226-5260
Acta Radiologica Open	2058-4601
Brazilian Journal of Empirical Legal Studies	2319-0817
Drammaturgia	2283-5644
Decision Analytics	2193-8636
Zeszyty Teoretyczne Rachunkowo?ci	2391-677X
Studia Universitatis Moldaviae: Stiinte Umanistice	1811-2668
Acta Universitatis Sapientiae, European and Regional Studies	2068-7583
Nanotehnologii v Stroitel?stve	2075-8545
European Journal of Applied Economics	2406-2588
Opìr Materìalìv ì Teorìâ Sporud	2410-2547
Acta Crystallographica Section E: Crystallographic Communications	2056-9890
?ibb-i urzh?ns-i ?r?n	2383-3645
Journal of Veterinary Internal Medicine	1939-1676
Sal?mat-i ijtim???	2423-4702
Defence Technology	2214-9147
Neuropsychiatric Electrophysiology	2055-4788
Safety in Health	2056-5917
Semestre Económico	0120-6346
Perspectives in Clinical Research	2229-3485
G|A|M|E The Italian Journal of Game Studies	2280-7705
Health &Justice	2194-7899
City, Territory and Architecture	2195-2701
Dominguezia	0327-2818
Review of Agricultural and Applied Economics	1336-9261
APOS Trends in Orthodontics	2321-4600
Bergen Language and Linguistics Studies	1892-2449
RACE: Revista de Administração, Contabilidade e Economia	1678-6483
EconomiA	1517-7580
Gels	2310-2861
Bioresources and bioprocessing	2197-4365
Fragmenta entomologica	2284-4880
Italian Journal of Food Science	1120-1770
Italian journal of Medicine	1877-9352
Geospatial Health	1970-7096
Vestiges: Traces of Record	2058-1963
MethodsX	2215-0161
Applied Food Biotechnology	2345-5357
Bergen Journal of Criminal Law and Criminal Justice	1894-4183
Alzheimer’s Research & Therapy	1758-9193
Research Involvement and Engagement	2056-7529
Fave: Sección Ciencias Agrarias	1666-7719
Anagramas Rumbos y Sentidos de la Comunicación	1692-2522
Studies in History and Theory of Architecture	2344-6544
Romanian Review of Geographical Education	2285-939X
Comunicación y Medios	0716-3991
Veins and Lymphatics	2279-7483
Microbiologia Medica	2280-6423
Journal of Biological Research	2284-0230
Thalassemia Reports	2039-4365
Wine Studies	2039-4446
Journal of Materials Research and Technology	2238-7854
Information Processing in Agriculture	2214-3173
Urban, Planning and Transport Research	2165-0020
Business Excellence and Management	2248-1354
Journal of Health and Safety at Work	2251-807X
Revista de Lenguas para Fines Específicos	1133-1127
Economica	2302-5190
EURINT	2393-2384
Cultural Anthropology and Ethnosemiotics	2411-6459
Verba Hispanica	0353-9660
Pollution	2383-451X
Journal of Traffic and Transportation Engineering	2095-7564
Acta Neophilologica	0567-784X
Documenta Praehistorica	1408-967X
ELOPE	1581-8918
Linguistica	0024-3922
Metamorfosa: Journal of Bilogical Sciences	2302-5697
Cadernos Metrópole	1517-2422
International Journal for Quality Research	1800-6450
Estudos de Literatura Brasileira Contemporânea	1518-0158
Su?asnì Informacìjnì Tehnologìï u Sferì Bezpeki ta Oboroni	2311-7249
Nano	2160-0104
Russian Linguistic Bulletin	2313-0288
Igra Ustvarjalnosti	2350-3637
Dinamika Pendidikan	1907-3720
Innovative Journal of Curriculum and Educational Technology	2252-7125
Journal of Asia-Pacific Biodiversity	2287-884X
Journal of the Association of Arab Universities for Basic and Applied Sciences	1815-3852
Pensamiento al Margen	2386-6098
Debate Universitario	2314-2138
Aktual?nye Problemy Èkonomiki i Prava	1993-047X
Biomedical Research and Therapy	2198-4093
Environmental Health Engineering and Management	2423-3765
Buletin Kebun Raya	0125-961X
Inge@UAN	2145-0935
Cogent Chemistry	2331-2009
Cogent Arts & Humanities	2331-1983
Cogent Physics	2331-1940
Cogent Business & Management	2331-1975
Cogent Social Sciences	2331-1886
Jurnal Dinamika Akuntansi	2085-4277
Jurnal Penelitian Kehutanan Wallacea	2302-299X
Jurnal Penelitian Fisika dan Aplikasinya	2087-9946
Wacana: Jurnal Sosial dan Humaniora	1411-0199
Sahand Communications in Mathematical Analysis	2322-5807
Journal of Economic Geology	2008-7306
Claridades: Revista de Filosofía	1889-6855
Moravian Geographical Reports	1210-8812
Multicultural Shakespeare	2300-7605
Reports on Geodesy and Geoinformatics	2391-8152
Slavia Centralis	1855-6302
Universitas Ciências da Saúde	1678-5398
Cell Reports	2211-1247
SEA: Practical Application of Science	2360-2554
Ribogospodars?ka Nauka Ukraïni	2075-1508
Unnes Law Journal	2252-6536
Catharsis	2252-6900
Journal of Economic Education	2301-7341
Journal of Research and Educational Research Evaluation	2252-6420
Seloka: Jurnal Pendidikan Bahasa dan Sastra Indonesia	2301-6744
ELT Forum: Journal of English Language Teaching	2252-6706
Comparative Cinema	2014-8933
Journal of Intelligent Systems	2356-3982
Question	1669-6581
ESTOA: Revista de la Facultad de Arquitectura y Urbanismo de la Universidad de Cuenca	1390-7263
Journal of Water Security	2345-0363
Journal of International Studies	2071-8330
Bulletin of the Veterinary Institute in Pulawy	2300-3235
Boletín Americanista	0520-4100
Conductual: Revista Internacional de Interconductismo y Análisis de Conducta	2340-0242
Anuario Iberoamericano de Derecho Internacional Penal	2346-3120
Revista de Economía del Rosario	2145-454X
IDCases	2214-2509
	1999-4893
European Journal of Radiology Open	2352-0477
Metabolic Engineering Communications	2214-0301
Pathogenesis	2214-6636
International Journal of Medical Toxicology and Forensic Medicine	2251-8762
Journal of Government and Politics	1907-8374
International Journal of Community Based Nursing and Midwifery	2322-2476
Revista Nacional de Odontología	1900-3088
Vestnik za Tuje Jezike	1855-8453
European Journal of Molecular Biotechnology	2310-6255
Coactivity: Philology, Educology	2351-714X
Economics Development Analysis Journal	2252-6560
Unnes Journal of Public Health	2252-6781
The Journal of Educational Development	2085-4943
JESS (Journal of Educational Social Studies)	2252-6390
JPES (Journal of Physical Education and Sports)	2252-648X
Journal of Primary Education	2252-6404
Journal of Facade Design and Engineering	2213-302X
Revista Novos Rumos Sociológicos	2318-3721
Palimpsesto	2014-1505
Academic Journal of Business, Administration, Law and Social Sciences	2410-3918
Human Genome Variation	2054-345X
Royal Society Open Science	2054-5703
Marketing Instytucji Naukowych i Badawczych	2353-8414
	2420-9767
Sportis	2386-8333
UPEJ (Unnes Physics Education Journal)	2252-6935
Unnes Physics Journal	2252-6978
Jurnal Fisika	2088-1509
E-Jurnal Physical Education, Sport, Helath and Recreation	2252-6773
Indonesian Journal of Early Childhood Education Studies	2252-8415
Early Childhood Education Papers	2252-6382
Solidarity: Journal of Education, Society and Culture	2252-7133
Journal of Sport Sciences and Fitness	2252-6528
Accounting Analysis Journal	2252-6765
Ciencias Psicológicas	1688-4094
Journal of Pharmaceutical Analysis	2095-1779
Fuzzy Information and Engineering	1616-8658
Natural Gas Industry B	2352-8540
Radiology of Infectious Diseases	2352-6211
Gremium	2007-8773
Vìsnik Dnìpropetrovs?kogo Unìversitetu: Serìâ Geologìâ, Geografìâ	2313-2159
Izvestiya: Journal of Varna University of Economics	2367-6361
Unnes Journal of Biology Education	2252-6579
Life Science	2252-6277
USEJ: Unnes Science Education Journal	2252-6617
Chemistry in Education: Chem. In Ed.	2252-6609
Jurnal Bahan Alam Terbarukan	2303-0623
Jurnal MIPA	0215-9945
IJCS: Indonesia Journal of Chemical Science	2252-6951
UJM (Unnes Journal of Mathematics)	2252-6943
Unnes Journal of Mathematics Education	2252-6927
Journal of Traditional Chinese Medical Sciences	2095-7548
Journal of Computational Design and Engineering	2288-4300
International Journal of Nursing Sciences	2352-0132
Tongweisu	1000-7512
Teosofi	2088-7957
Clareira: Revista de Filosofia da Região Amazônica	2359-1951
Journal of Health Management & Informatics	2322-1097
Journal on Innovation and Sustainability	2179-3565
Reinwardtia	0034-365X
Ta'dib	1410-6973
Veterinary Medicine and Science	2053-1095
Earth and Space Science	2333-5084
Nutrition and Food Sciences Research	2383-0441
Jurnal Kesehatan Andalas	2301-7406
Journal of Health Sciences and Surveillance System	2345-2218
Europolity: Continuity and Change in European Governance	2344-2247
Journal of Rehabilitation Sciences and Research	2345-6159
Teoliterária: Revista Brasileira de Literaturas e Teologias	2236-9937
Cadernos de Prospecção	1983-1358
Revista Brasileira de Extensão Universitária	1806-2695
Future Science OA	2056-5623
Journal for Research Cultures	2411-3751
Intellectual Discourse	0128-4878
Construction Economics and Building	2204-9029
Acta Fytotechnica et Zootechnica	1335-258X
Management Intercultural	1454-9980
Studia Universitatis Moldaviae: Stiinte Exacte si Economice	1857-2073
Páginas de Educación	1688-5287
L'Atalante	1885-3730
Chemical and Process Engineering	2300-1925
International Journal of Applied Mechanics and Engineering	1734-4492
EuPA Open Proteomics	2212-9685
Revista Estudios Ambientales	2347-0941
Musicologia Austriaca	1016-1066
Medieval Worlds	2412-3196
JRSM Open	2054-2704
International Journal of Agriculture System	2337-9782
Hasanuddin Law Review	2442-9880
Mustafa Kemal Üniversitesi T?p Dergisi	1308-7185
?stanbul Üniversitesi Veteriner Fakültesi Dergisi	0250-2836
Entrepreneurial Business and Economics Review	2353-8821
Equilibrium. Quarterly Journal of Economics and Economic Policy	2353-3293
Studia Medyczne	2300-6722
International Journal of Electronics and Telecommunications	2300-1933
Progress in Economic Sciences	2391-5951
Journal of Applied Mathematics and Computational Mechanics	2353-0588
Polish Journal of Pathology	2084-9869
Toru?skie Studia Bibliologiczne	2080-1807
Challenges of Modern Technology	2353-4419
Medycyna ?rodowiskowa	2084-6312
Przegl?d Geopolityczny	2080-8836
E-Review. Rivista degli Istituti Storici dell'Emilia-Romagna in Rete	2284-1784
International Journal of Health, Animal Science and Food Safety January	2283-3927
Jurnal Pendidikan Fisika Indonesia	1693-1246
Çanakkale Ara?t?rmalar? Türk Y?ll???	2148-0877
Revista de la Secretaría del Tribunal Permanente de Revisión	2307-5163
