Title20;ISO_ABBREV;TITLE;ISSN
J VIRAL HEPATITIS;J. Viral Hepatitis;JOURNAL OF VIRAL HEPATITIS;1352-0504
CAN ASSOC RADIOL J;Can. Assoc. Radiol. J.-J. Assoc. Can. Radiol.;CANADIAN ASSOCIATION OF RADIOLOGISTS JOURNAL-JOURNAL DE L ASSOCIATION CANADIENNE DES RADIOLOGISTES;0846-5371
CAN ENTOMOL;Can. Entomol.;CANADIAN ENTOMOLOGIST;0008-347X
CAN FAM PHYSICIAN;Can. Fam. Phys.;CANADIAN FAMILY PHYSICIAN;0008-350X
CAN J EARTH SCI;Can. J. Earth Sci.;CANADIAN JOURNAL OF EARTH SCIENCES;0008-4077
CAN J ELECT COMPUT E;Can. J. Electr. Comp. Eng.-Rev. Can. Genie Electr. Inform.;CANADIAN JOURNAL OF ELECTRICAL AND COMPUTER ENGINEERING-REVUE CANADIENNE DE GENIE ELECTRIQUE ET INFORMATIQUE;0840-8688
CAN J FISH AQUAT SCI;Can. J. Fish. Aquat. Sci.;CANADIAN JOURNAL OF FISHERIES AND AQUATIC SCIENCES;0706-652X
CAN J FOREST RES;Can. J. For. Res.;CANADIAN JOURNAL OF FOREST RESEARCH;0045-5067
CAN J INFECT DIS MED;Can. J. Infect. Dis. Med. Microbiol.;Canadian Journal of Infectious Diseases & Medical Microbiology;1712-9532
CAN J PHYS;Can. J. Phys.;CANADIAN JOURNAL OF PHYSICS;0008-4204
CAN J PLANT SCI;Can. J. Plant Sci.;CANADIAN JOURNAL OF PLANT SCIENCE;0008-4220
CAN J REMOTE SENS;Can. J. Remote Sens.;CANADIAN JOURNAL OF REMOTE SENSING;0703-8992
CAN J STAT;Can. J. Stat.-Rev. Can. Stat.;CANADIAN JOURNAL OF STATISTICS-REVUE CANADIENNE DE STATISTIQUE;0319-5724
CAN J SURG;Can. J. Surg.;CANADIAN JOURNAL OF SURGERY;0008-428X
CAN J ZOOL;Can. J. Zool.;CANADIAN JOURNAL OF ZOOLOGY;0008-4301
CAN MED ASSOC J;Can. Med. Assoc. J.;CANADIAN MEDICAL ASSOCIATION JOURNAL;0820-3946
CAN MINERAL;Can. Mineral.;CANADIAN MINERALOGIST;0008-4476
CAN WATER RESOUR J;Can. Water Resour. J.;Canadian Water Resources Journal;0701-1784
CANCER BIOL MED;Cancer Biol. Med.;Cancer Biology & Medicine;2095-3941
CANCER BIOTHER RADIO;Cancer Biother. Radiopharm.;CANCER BIOTHERAPY AND RADIOPHARMACEUTICALS;1084-9785
CANCER CHEMOTH PHARM;Cancer Chemother. Pharmacol.;CANCER CHEMOTHERAPY AND PHARMACOLOGY;0344-5704
CANCER GENE THER;Cancer Gene Ther.;CANCER GENE THERAPY;0929-1903
CANCER INVEST;Cancer Invest.;CANCER INVESTIGATION;0735-7907
CANCER RES;Cancer Res.;CANCER RESEARCH;0008-5472
CANCER RES TREAT;Cancer Res. Treat.;Cancer Research and Treatment;1598-2998
CANCER-AM CANCER SOC;Cancer;CANCER;0008-543X
ADV CHRONIC KIDNEY D;Adv. Chronic Kidney Dis.;ADVANCES IN CHRONIC KIDNEY DISEASE;1548-5595
ADV COMPOS MATER;Adv. Compos. Mater.;ADVANCED COMPOSITE MATERIALS;0924-3046
ADV CONCR CONSTR;Adv. Concr. Constr.;Advances in Concrete Construction;2287-5301
ADV DIFFERENTIAL EQU;Adv. Differ. Equat.;Advances in Differential Equations;1079-9389
ADV ENG MATER;Adv. Eng. Mater.;ADVANCED ENGINEERING MATERIALS;1438-1656
ADV ENG SOFTW;Adv. Eng. Softw.;ADVANCES IN ENGINEERING SOFTWARE;0965-9978
ADV GEOM;Adv. Geom.;ADVANCES IN GEOMETRY;1615-715X
ADV HIGH ENERGY PHYS;Adv. High. Energy Phys.;Advances in High Energy Physics;1687-7357
COLOR RES APPL;Color Res. Appl.;COLOR RESEARCH AND APPLICATION;0361-2317
COLOR TECHNOL;Color. Technol.;COLORATION TECHNOLOGY;1472-3581
COMB PROBAB COMPUT;Comb. Probab. Comput.;COMBINATORICS PROBABILITY & COMPUTING;0963-5483
COMBUST EXPLO SHOCK+;Combust. Explos.;COMBUSTION EXPLOSION AND SHOCK WAVES;0010-5082
COMBUST THEOR MODEL;Combust. Theory Model.;COMBUSTION THEORY AND MODELLING;1364-7830
COMMUN NONLINEAR SCI;Commun. Nonlinear Sci. Numer. Simul.;Communications in Nonlinear Science and Numerical Simulation;1007-5704
COMMUN NONLINEAR SCI;Commun. Nonlinear Sci. Numer. Simul.;Communications in Nonlinear Science and Numerical Simulation;1007-5704
COMMUN NUMBER THEORY;Commun. Number Theory Phys.;Communications in Number Theory and Physics;1931-4523
COMMUN NUMBER THEORY;Commun. Number Theory Phys.;Communications in Number Theory and Physics;1931-4523
COMMUN STAT-SIMUL C;Commun. Stat.-Simul. Comput.;COMMUNICATIONS IN STATISTICS-SIMULATION AND COMPUTATION;0361-0918
COMMUNITY ECOL;Community Ecol.;COMMUNITY ECOLOGY;1585-8553
COMP BIOCHEM PHYS B;Comp. Biochem. Physiol. B-Biochem. Mol. Biol.;COMPARATIVE BIOCHEMISTRY AND PHYSIOLOGY B-BIOCHEMISTRY & MOLECULAR BIOLOGY;1096-4959
J LEUKOCYTE BIOL;J. Leukoc. Biol.;JOURNAL OF LEUKOCYTE BIOLOGY;0741-5400
J LOW TEMP PHYS;J. Low Temp. Phys.;JOURNAL OF LOW TEMPERATURE PHYSICS;0022-2291
ANN I STAT MATH;Ann. Inst. Stat. Math.;ANNALS OF THE INSTITUTE OF STATISTICAL MATHEMATICS;0020-3157
ANN INTENSIVE CARE;Ann. Intensive Care;Annals of Intensive Care;2110-5820
ANN LIMNOL-INT J LIM;Ann. Limnol.-Int. J. Limnol.;ANNALES DE LIMNOLOGIE-INTERNATIONAL JOURNAL OF LIMNOLOGY;0003-4088
ANN MATH;Ann. Math.;ANNALS OF MATHEMATICS;0003-486X
ANN MED-PSYCHOL;Ann. Med.-Psychol.;ANNALES MEDICO-PSYCHOLOGIQUES;0003-4487
ANN NUCL ENERGY;Ann. Nucl. Energy;ANNALS OF NUCLEAR ENERGY;0306-4549
ANN PATHOL;Ann. Pathol.;ANNALES DE PATHOLOGIE;0242-6498
ANN PHYS-BERLIN;Ann. Phys.-Berlin;ANNALEN DER PHYSIK;0003-3804
ANN PROBAB;Ann. Probab.;ANNALS OF PROBABILITY;0091-1798
ANN SOC ENTOMOL FR;Ann. Soc. Entomol. Fr.;ANNALES DE LA SOCIETE ENTOMOLOGIQUE DE FRANCE;0037-9271
ANN VASC SURG;Ann. Vasc. Surg.;ANNALS OF VASCULAR SURGERY;0890-5096
ANN ZOOL FENN;Ann. Zool. Fenn.;ANNALES ZOOLOGICI FENNICI;0003-455X
ANNU REP NMR SPECTRO;Annu. Rep. NMR Spectrosc.;Annual Reports on NMR Spectroscopy;0066-4103
ANNU REV CELL DEV BI;Annu. Rev. Cell Dev.Biol.;Annual Review of Cell and Developmental Biology;1081-0706
ANNU REV GENET;Annu. Rev. Genet.;Annual Review of Genetics;0066-4197
INT J SURG;Int. J. Surg.;International Journal of Surgery;1743-9191
INT J SURG PATHOL;Int. J. Surg. Pathol.;INTERNATIONAL JOURNAL OF SURGICAL PATHOLOGY;1066-8969
INT J SYST SCI;Int. J. Syst. Sci.;INTERNATIONAL JOURNAL OF SYSTEMS SCIENCE;0020-7721
INT J TECHNOL DES ED;Int. J. Technol. Des. Educ.;INTERNATIONAL JOURNAL OF TECHNOLOGY AND DESIGN EDUCATION;0957-7572
INT J THERM SCI;Int. J. Therm. Sci.;INTERNATIONAL JOURNAL OF THERMAL SCIENCES;1290-0729
INT J THERMOPHYS;Int. J. Thermophys.;INTERNATIONAL JOURNAL OF THERMOPHYSICS;0195-928X
INT J VEHICLE DES;Int. J. Veh. Des.;INTERNATIONAL JOURNAL OF VEHICLE DESIGN;0143-3369
INT MICROBIOL;Int. Microbiol.;INTERNATIONAL MICROBIOLOGY;1139-6709
J PROSTHODONT;J. Prosthodont.;Journal of Prosthodontics-Implant Esthetic and Reconstructive Dentistry;1059-941X
J PSYCHIATR NEUROSCI;J. Psychiatry Neurosci.;JOURNAL OF PSYCHIATRY & NEUROSCIENCE;1180-4882
J PUBLIC HEALTH DENT;J. Public Health Dent.;JOURNAL OF PUBLIC HEALTH DENTISTRY;0022-4006
J R SOC INTERFACE;J. R. Soc. Interface;Journal of the Royal Society Interface;1742-5689
J R STAT SOC C-APPL;J. R. Stat. Soc. Ser. C-Appl. Stat.;JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES C-APPLIED STATISTICS;0035-9254
CARBON;Carbon;CARBON;0008-6223
CARBON MANAG;Carbon Manag.;Carbon Management;1758-3004
CARDIORENAL MED;CardioRenal Med.;CardioRenal Medicine;1664-3828
CARDIOVASC ENG TECHN;Cardiovasc. Eng. Technol.;Cardiovascular Engineering and Technology;1869-408X
CARDIOVASC PATHOL;Cardiovasc. Pathol.;CARDIOVASCULAR PATHOLOGY;1054-8807
CARDIOVASC THER;Cardiovasc. Ther.;Cardiovascular Therapeutics;1755-5914
CARNETS GEOL;Carnets Geol.;CARNETS DE GEOLOGIE;1634-0744
CATAL LETT;Catal. Lett.;CATALYSIS LETTERS;1011-372X
FINITE ELEM ANAL DES;Finite Elem. Anal. Des.;FINITE ELEMENTS IN ANALYSIS AND DESIGN;0168-874X
FISH SHELLFISH IMMUN;Fish Shellfish Immunol.;FISH & SHELLFISH IMMUNOLOGY;1050-4648
FLEISCHWIRTSCHAFT;Fleischwirtschaft;FLEISCHWIRTSCHAFT;0015-363X
FOLIA MORPHOL;Folia Morphol.;FOLIA MORPHOLOGICA;0015-5659
FOLIA PHONIATR LOGO;Folia Phoniatr. Logop.;FOLIA PHONIATRICA ET LOGOPAEDICA;1021-7762
FOOD ADDIT CONTAM B;Food Addit. Contam. Part B-Surveill.;Food Additives & Contaminants Part B-Surveillance;1939-3210
FOOD BIOSCI;Food Biosci.;Food Bioscience;2212-4292
FOOD BIOTECHNOL;Food Biotechnol.;FOOD BIOTECHNOLOGY;0890-5436
FOOD DRUG LAW J;Food Drug Law J.;FOOD AND DRUG LAW JOURNAL;1064-590X
FOOD HYDROCOLLOID;Food Hydrocolloids;FOOD HYDROCOLLOIDS;0268-005X
FOOD NUTR BULL;Food Nutr. Bull.;FOOD AND NUTRITION BULLETIN;0379-5721
FOOD POLICY;Food Policy;FOOD POLICY;0306-9192
FOOD POLICY;Food Policy;FOOD POLICY;0306-9192
COMP BIOCHEM PHYS D;Comp. Biochem. Physiol. D-Genomics Proteomics;Comparative Biochemistry and Physiology D-Genomics & Proteomics;1744-117X
COMP IMMUNOL MICROB;Comp. Immunol. Microbiol. Infect. Dis.;COMPARATIVE IMMUNOLOGY MICROBIOLOGY AND INFECTIOUS DISEASES;0147-9571
COMP MATH MATH PHYS+;Comput. Math. Math. Phys.;COMPUTATIONAL MATHEMATICS AND MATHEMATICAL PHYSICS;0965-5425
COMPEL;Compel-Int. J. Comp. Math. Electr. Electron. Eng.;COMPEL-THE INTERNATIONAL JOURNAL FOR COMPUTATION AND MATHEMATICS IN ELECTRICAL AND ELECTRONIC ENGINEERING;0332-1649
COMPLEMENT THER MED;Complement. Ther. Med.;COMPLEMENTARY THERAPIES IN MEDICINE;0965-2299
COMPLEXITY;Complexity;COMPLEXITY;1076-2787
COMPOS INTERFACE;Compos. Interfaces;COMPOSITE INTERFACES;0927-6440
COMPOS PART A-APPL S;Compos. Pt. A-Appl. Sci. Manuf.;COMPOSITES PART A-APPLIED SCIENCE AND MANUFACTURING;1359-835X
COMPOS SCI TECHNOL;Compos. Sci. Technol.;COMPOSITES SCIENCE AND TECHNOLOGY;0266-3538
COMPUT ASSIST SURG;COMPUT. ASSIST. SURG.;Computer Assisted Surgery;2469-9322
COMPUT BIOL CHEM;Comput. Biol. Chem.;COMPUTATIONAL BIOLOGY AND CHEMISTRY;1476-9271
HEPAT MON;Hepat. Mon.;Hepatitis Monthly;1735-143X
HEPATOL RES;Hepatol. Res.;HEPATOLOGY RESEARCH;1386-6346
HER RUSS ACAD SCI+;Her. Russ. Acad. Sci.;HERALD OF THE RUSSIAN ACADEMY OF SCIENCES;1019-3316
HERPETOL CONSERV BIO;Herpetol. Conserv. Biol.;Herpetological Conservation and Biology;2151-0733
HIGH ALT MED BIOL;High Alt. Med. Biol.;HIGH ALTITUDE MEDICINE & BIOLOGY;1527-0297
HIGH PERFORM POLYM;High Perform. Polym.;HIGH PERFORMANCE POLYMERS;0954-0083
HIST MATH;Hist. Math.;HISTORIA MATHEMATICA;0315-0860
HIST SCI;Hist. Sci.;HISTORY OF SCIENCE;0073-2753
HISTOL HISTOPATHOL;Histol. Histopath.;HISTOLOGY AND HISTOPATHOLOGY;0213-3911
HNO;HNO;HNO;0017-6192
HOLIST NURS PRACT;Holist. Nurs. Pract.;Holistic Nursing Practice;0887-9311
HOMOL HOMOTOPY APPL;Homol. Homotopy Appl.;Homology Homotopy and Applications;1532-0073
ANNU REV MICROBIOL;Annu. Rev. Microbiol.;Annual Review of Microbiology;0066-4227
DERMATOL SIN;Dermatol. Sin.;Dermatologica Sinica;1027-8117
DERMATOL THER;Dermatol. Ther.;Dermatologic Therapy;1396-0296
DES AUTOM EMBED SYST;Des. Autom. Embed. Syst.;DESIGN AUTOMATION FOR EMBEDDED SYSTEMS;0929-5585
DESIGN STUD;Design Stud.;DESIGN STUDIES;0142-694X
DEV CELL;Dev. Cell;DEVELOPMENTAL CELL;1534-5807
DEV GENES EVOL;Dev. Genes Evol.;DEVELOPMENT GENES AND EVOLUTION;0949-944X
DEV NEUROBIOL;Dev. Neurobiol.;Developmental Neurobiology;1932-8451
DEV WORLD BIOETH;Dev. World Bioeth.;Developing World Bioethics;1471-8731
DIABET METAB SYND OB;Diabetes Metab. Syndr. Obes.;Diabetes Metabolic Syndrome and Obesity-Targets and Therapy;1178-7007
DIABETES EDUCATOR;Diabetes Educ.;DIABETES EDUCATOR;0145-7217
DIABETES VASC DIS RE;Diabetes Vasc. Dis. Res.;Diabetes & Vascular Disease Research;1479-1641
DIS MARKERS;Dis. Markers;DISEASE MARKERS;0278-0240
DISABIL HEALTH J;Disabil. Health J.;Disability and Health Journal;1936-6574
J REHABIL MED;J. Rehabil. Med.;JOURNAL OF REHABILITATION MEDICINE;1650-1977
J REHABIL MED;J. Rehabil. Med.;JOURNAL OF REHABILITATION MEDICINE;1650-1977
J RENEW MATER;J. Renew. Mater.;Journal of Renewable Materials;2164-6325
J REPROD IMMUNOL;J. Reprod. Immunol.;JOURNAL OF REPRODUCTIVE IMMUNOLOGY;0165-0378
J RURAL HEALTH;J. Rural Health;JOURNAL OF RURAL HEALTH;0890-765X
J SANDW STRUCT MATER;J. Sandw. Struct. Mater.;JOURNAL OF SANDWICH STRUCTURES & MATERIALS;1099-6362
J SCH NURS;J. Sch. Nurs.;Journal of School Nursing;1059-8405
J SCI FOOD AGR;J. Sci. Food Agric.;JOURNAL OF THE SCIENCE OF FOOD AND AGRICULTURE;0022-5142
J SCI IND RES INDIA;J. Sci. Ind. Res.;JOURNAL OF SCIENTIFIC & INDUSTRIAL RESEARCH;0022-4456
BEST PRACT RES CL OB;Best Pract. Res. Clin. Obstet. Gynaecol.;BEST PRACTICE & RESEARCH CLINICAL OBSTETRICS & GYNAECOLOGY;1521-6934
BETON- STAHLBETONBAU;Beton- Stahlbetonbau;Beton- und Stahlbetonbau;0005-9900
BIOCHEM J;Biochem. J.;BIOCHEMICAL JOURNAL;0264-6021
BIOCONTROL SCI;Biocontrol Sci.;BIOCONTROL SCIENCE;1342-4815
FOOD SCI TECHNOL RES;Food Sci. Technol. Res.;FOOD SCIENCE AND TECHNOLOGY RESEARCH;1344-6606
FOOT ANKLE INT;Foot Ankle Int.;FOOT & ANKLE INTERNATIONAL;1071-1007
FORENSIC SCI INT-GEN;Forensic Sci. Int.-Genet.;Forensic Science International-Genetics;1872-4973
FOREST ECOL MANAG;For. Ecol. Manage.;FOREST ECOLOGY AND MANAGEMENT;0378-1127
FOREST PATHOL;Forest Pathol.;FOREST PATHOLOGY;1437-4781
FORKTAIL;Forktail;FORKTAIL;0950-1746
FRACT CALC APPL ANAL;Fract. Calc. Appl. Anal.;Fractional Calculus and Applied Analysis;1311-0454
J ASIAN EARTH SCI;J. Asian Earth Sci.;JOURNAL OF ASIAN EARTH SCIENCES;1367-9120
J ASTHMA;J. Asthma;JOURNAL OF ASTHMA;0277-0903
J ASTRON TELESC INST;J. Astron. Telesc. Instrum. Syst.;Journal of Astronomical Telescopes Instruments and Systems;2329-4124
J ATTEN DISORD;J. Atten. Disord.;Journal of Attention Disorders;1087-0547
J BIOBASED MATER BIO;J. Biobased Mater. Bioenergy;Journal of Biobased Materials and Bioenergy;1556-6560
J BIOCHEM MOL TOXIC;J. Biochem. Mol. Toxicol.;JOURNAL OF BIOCHEMICAL AND MOLECULAR TOXICOLOGY;1095-6670
J BIOENERG BIOMEMBR;J. Bioenerg. Biomembr.;JOURNAL OF BIOENERGETICS AND BIOMEMBRANES;0145-479X
J BIOL EDUC;J. Biol. Educ.;JOURNAL OF BIOLOGICAL EDUCATION;0021-9266
J BIOL REG HOMEOS AG;J. Biol. Regul. Homeost. Agents;JOURNAL OF BIOLOGICAL REGULATORS AND HOMEOSTATIC AGENTS;0393-974X
J BIOL REG HOMEOS AG;J. Biol. Regul. Homeost. Agents;JOURNAL OF BIOLOGICAL REGULATORS AND HOMEOSTATIC AGENTS;0393-974X
J BIOL REG HOMEOS AG;J. Biol. Regul. Homeost. Agents;JOURNAL OF BIOLOGICAL REGULATORS AND HOMEOSTATIC AGENTS;0393-974X
J BIOMATER APPL;J. Biomater. Appl.;JOURNAL OF BIOMATERIALS APPLICATIONS;0885-3282
J BIOMECH;J. Biomech.;JOURNAL OF BIOMECHANICS;0021-9290
J BIOMED NANOTECHNOL;J. Biomed. Nanotechnol.;Journal of Biomedical Nanotechnology;1550-7033
J BIOMED NANOTECHNOL;J. Biomed. Nanotechnol.;Journal of Biomedical Nanotechnology;1550-7033
HORTIC ENVIRON BIOTE;Hortic. Environ. Biotechnol.;Horticulture Environment and Biotechnology;2211-3452
HUM ECOL RISK ASSESS;Hum. Ecol. Risk Assess.;HUMAN AND ECOLOGICAL RISK ASSESSMENT;1080-7039
HUM FACTORS;Hum. Factors;HUMAN FACTORS;0018-7208
HUM GENET;Hum. Genet.;HUMAN GENETICS;0340-6717
J ENVIRON ENG GEOPH;J. Environ. Eng. Geophys.;JOURNAL OF ENVIRONMENTAL AND ENGINEERING GEOPHYSICS;1083-1363
J ENVIRON QUAL;J. Environ. Qual.;JOURNAL OF ENVIRONMENTAL QUALITY;0047-2425
J ENVIRON SCI HEAL B;J. Environ. Sci. Health Part B-Pestic. Contam. Agric. Wastes;JOURNAL OF ENVIRONMENTAL SCIENCE AND HEALTH PART B-PESTICIDES FOOD CONTAMINANTS AND AGRICULTURAL WASTES;0360-1234
J ESSENT OIL BEAR PL;J. Essent. Oil Bear. Plants.;Journal of Essential Oil Bearing Plants;0972-060X
J ESTHET RESTOR DENT;J. Esthet. Restor. Dent.;Journal of Esthetic and Restorative Dentistry;1496-4155
J ETHN SUBST ABUSE;J. Ethn. Subst. Abuse;JOURNAL OF ETHNICITY IN SUBSTANCE ABUSE;1533-2640
J ETHNOBIOL ETHNOMED;J. Ethnobiol. Ethnomed.;Journal of Ethnobiology and Ethnomedicine;1746-4269
J ETHNOPHARMACOL;J. Ethnopharmacol.;JOURNAL OF ETHNOPHARMACOLOGY;0378-8741
J ETHNOPHARMACOL;J. Ethnopharmacol.;JOURNAL OF ETHNOPHARMACOLOGY;0378-8741
J EXP BOT;J. Exp. Bot.;JOURNAL OF EXPERIMENTAL BOTANY;0022-0957
J EXP MED;J. Exp. Med.;JOURNAL OF EXPERIMENTAL MEDICINE;0022-1007
J EXP NANOSCI;J. Exp. Nanosci.;Journal of Experimental Nanoscience;1745-8080
J EXP ZOOL PART B;J. Exp. Zool. Part B;JOURNAL OF EXPERIMENTAL ZOOLOGY PART B-MOLECULAR AND DEVELOPMENTAL EVOLUTION;1552-5007
J EXP ZOOL PART B;J. Exp. Zool. Part B;JOURNAL OF EXPERIMENTAL ZOOLOGY PART B-MOLECULAR AND DEVELOPMENTAL EVOLUTION;1552-5007
DISCRETE MATH THEOR;Discret. Math. Theor. Comput. Sci.;DISCRETE MATHEMATICS AND THEORETICAL COMPUTER SCIENCE;1462-7264
DISPLAYS;Displays;DISPLAYS;0141-9382
INFLAMM RES;Inflamm. Res.;INFLAMMATION RESEARCH;1023-3830
INFLAMMOPHARMACOLOGY;Inflammopharmacology;INFLAMMOPHARMACOLOGY;0925-4692
INFOR;Infor;INFOR;0315-5986
INFORMATICA-LITHUAN;Informatica;INFORMATICA;0868-4952
INFORMS J COMPUT;INFORMS J. Comput.;INFORMS JOURNAL ON COMPUTING;1091-9856
INORG CHEM;Inorg. Chem.;INORGANIC CHEMISTRY;0020-1669
INORG CHIM ACTA;Inorg. Chim. Acta;INORGANICA CHIMICA ACTA;0020-1693
INORG MATER+;Inorg. Mater.;INORGANIC MATERIALS;0020-1685
INORG NANO-MET CHEM;Inorg. Nano-Met. Chem.;Inorganic and Nano-Metal Chemistry;2470-1556
INRA PROD ANIM;Inra Prod. Anim.;Inra Productions Animales;0990-0632
INRA PROD ANIM;Inra Prod. Anim.;Inra Productions Animales;0990-0632
INSECT SCI;Insect Sci.;Insect Science;1672-9609
INSECT SOC;Insect. Soc.;INSECTES SOCIAUX;0020-1812
BIOINSPIR BIOMIM;Bioinspir. Biomim.;Bioinspiration & Biomimetics;1748-3182
BIOL BLOOD MARROW TR;Biol. Blood Marrow Transplant.;BIOLOGY OF BLOOD AND MARROW TRANSPLANTATION;1083-8791
BIOL CYBERN;Biol. Cybern.;BIOLOGICAL CYBERNETICS;0340-1200
BIOL SEX DIFFER;Biol. Sex Differ.;Biology of Sex Differences;2042-6410
BIOMARKERS;Biomarkers;BIOMARKERS;1354-750X
BIOMARKERS;Biomarkers;BIOMARKERS;1354-750X
BIOMED CHROMATOGR;Biomed. Chromatogr.;BIOMEDICAL CHROMATOGRAPHY;0269-3879
BIOMED CHROMATOGR;Biomed. Chromatogr.;BIOMEDICAL CHROMATOGRAPHY;0269-3879
BIOMED ENG-BIOMED TE;Biomed. Eng.-Biomed. Tech.;Biomedical Engineering-Biomedizinische Technik;0013-5585
BIOMED SIGNAL PROCES;Biomed. Signal Process. Control;Biomedical Signal Processing and Control;1746-8094
EPE J;EPE J.;EPE Journal;0939-8368
EPIDEMIOLOGY;Epidemiology;EPIDEMIOLOGY;1044-3983
J BIOMOL SCREEN;J. Biomol. Screen;JOURNAL OF BIOMOLECULAR SCREENING;1087-0571
J BIOSCIENCES;J. Biosci.;JOURNAL OF BIOSCIENCES;0250-5991
J BONE JOINT SURG AM;J. Bone Joint Surg.-Am. Vol.;JOURNAL OF BONE AND JOINT SURGERY-AMERICAN VOLUME;0021-9355
J BRYOL;J. Bryol.;JOURNAL OF BRYOLOGY;0373-6687
J BUILD PHYS;J. Build Phys.;Journal of Building Physics;1744-2591
J CAMEL PRACT RES;J. Camel Pract. Res.;JOURNAL OF CAMEL PRACTICE AND RESEARCH;0971-6777
J CAN DENT ASSOC;J. Can. Dent. Assoc.;JOURNAL OF THE CANADIAN DENTAL ASSOCIATION;1488-2159
J CANCER RES CLIN;J. Cancer Res. Clin. Oncol.;JOURNAL OF CANCER RESEARCH AND CLINICAL ONCOLOGY;0171-5216
J WATER RES PLAN MAN;J. Water Resour. Plan. Manage.-ASCE;JOURNAL OF WATER RESOURCES PLANNING AND MANAGEMENT;0733-9496
J WATERW PORT COAST;J. Waterw. Port Coast. Ocean Eng.;JOURNAL OF WATERWAY PORT COASTAL AND OCEAN ENGINEERING;0733-950X
J WILDLIFE MANAGE;J. Wildl. Manage.;JOURNAL OF WILDLIFE MANAGEMENT;0022-541X
J WIND ENG IND AEROD;J. Wind Eng. Ind. Aerodyn.;JOURNAL OF WIND ENGINEERING AND INDUSTRIAL AERODYNAMICS;0167-6105
J ZOOL SYST EVOL RES;J. Zool. Syst. Evol. Res.;JOURNAL OF ZOOLOGICAL SYSTEMATICS AND EVOLUTIONARY RESEARCH;0947-5745
JAIDS-J ACQ IMM DEF;JAIDS;JAIDS-JOURNAL OF ACQUIRED IMMUNE DEFICIENCY SYNDROMES;1525-4135
JAMA CARDIOL;JAMA Cardiol.;JAMA Cardiology;2380-6583
JAMA DERMATOL;JAMA Dermatol.;JAMA Dermatology;2168-6068
JAMA OPHTHALMOL;JAMA Ophthalmol.;JAMA Ophthalmology;2168-6165
JAMA PSYCHIAT;JAMA Psychiatry;JAMA Psychiatry;2168-622X
JARO-J ASSOC RES OTO;JARO;JARO-JOURNAL OF THE ASSOCIATION FOR RESEARCH IN OTOLARYNGOLOGY;1525-3961
JOHNSON MATTHEY TECH;Johns. Matthey Technol. Rev.;Johnson Matthey Technology Review;2056-5135
JOM-US;JOM;JOM;1047-4838
JOM-US;JOM;JOM;1047-4838
J FIBER SCI TECHNOL;J. Fiber Sci. Technol.;Journal of Fiber Science and Technology;2189-7654
J FIELD ROBOT;J. Field Robot.;Journal of Field Robotics;1556-4959
J FISH DIS;J. Fish Dis.;JOURNAL OF FISH DISEASES;0140-7775
J FLOW CHEM;J. Flow Chem.;Journal of Flow Chemistry;2062-249X
J FLUID MECH;J. Fluid Mech.;JOURNAL OF FLUID MECHANICS;0022-1120
J FLUID STRUCT;J. Fluids Struct.;JOURNAL OF FLUIDS AND STRUCTURES;0889-9746
J FOOD BIOCHEM;J. Food Biochem.;JOURNAL OF FOOD BIOCHEMISTRY;0145-8884
ADV NONLINEAR ANAL;Adv. Nonlinear Anal.;Advances in Nonlinear Analysis;2191-9496
ADV NONLINEAR STUD;Adv. Nonlinear Stud.;ADVANCED NONLINEAR STUDIES;1536-1365
ADV POLYM SCI;Adv. Polym. Sci.;Advances in Polymer Science;0065-3195
ADV ROBOTICS;Adv. Robot.;ADVANCED ROBOTICS;0169-1864
ADV SCI;Adv. Sci.;Advanced Science;2198-3844
ADV SPACE RES;Adv. Space Res.;ADVANCES IN SPACE RESEARCH;0273-1177
ADV THEOR MATH PHYS;Adv. Theor. Math. Phys.;Advances in Theoretical and Mathematical Physics;1095-0761
AEOLIAN RES;Aeolian Res.;Aeolian Research;1875-9637
AERONAUT J;Aeronaut. J.;AERONAUTICAL JOURNAL;0001-9240
AEROSOL SCI TECH;Aerosol Sci. Technol.;AEROSOL SCIENCE AND TECHNOLOGY;0278-6826
AEROSP MED HUM PERF;Aerosp. Med.Hum. Perform.;Aerospace Medicine and Human Performance;2375-6314
AEROSP SCI TECHNOL;Aerosp. Sci. Technol.;AEROSPACE SCIENCE AND TECHNOLOGY;1270-9638
AFR J HERPETOL;Afr. J. Herpetol.;AFRICAN JOURNAL OF HERPETOLOGY;2156-4574
AFR J RANGE FOR SCI;Afr. J. Range Forage Sci.;AFRICAN JOURNAL OF RANGE & FORAGE SCIENCE;1022-0119
AGGRESSIVE BEHAV;Aggressive Behav.;AGGRESSIVE BEHAVIOR;0096-140X
AGING MALE;Aging Male;Aging Male;1368-5538
INT BRAZ J UROL;Int. Braz J Urol;International Braz J Urol;1677-5538
INT CLIN PSYCHOPHARM;Int. Clin. Psychopharmacol.;INTERNATIONAL CLINICAL PSYCHOPHARMACOLOGY;0268-1315
INT FOOD RES J;Int. Food Res. J.;International Food Research Journal;1985-4668
INT HEALTH;Int. Health;International Health;1876-3413
INT J AD HOC UBIQ CO;Int. J. Ad Hoc Ubiquitous Comput.;International Journal of Ad Hoc and Ubiquitous Computing;1743-8225
